timestamp,tool,target,source,type,properties_json
2026-05-13T09:40:52.153628798Z,gau,https://example.com/ads,gau,discovery,"{""history_url"":""https://example.com/ads""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/<b>BOLD</b>,gau,discovery,"{""history_url"":""https://example.com/\u003cb\u003eBOLD\u003c/b\u003e""}"
2026-05-13T09:40:52.153628798Z,gau,https://api.example.com/products/search,gau,discovery,"{""history_url"":""https://api.example.com/products/search""}"
2026-05-13T09:40:52.153628798Z,gau,https://imbi.example.com/api,gau,discovery,"{""history_url"":""https://imbi.example.com/api""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/doc,gau,discovery,"{""history_url"":""https://example.com/doc""}"
2026-05-13T09:40:52.153628798Z,gau,https://hudu.example.com/kb/articles/psp-network-printer-setup-windows-11,gau,discovery,"{""history_url"":""https://hudu.example.com/kb/articles/psp-network-printer-setup-windows-11""}"
2026-05-13T09:40:52.153628798Z,gau,https://hudu.example.com/kb/articles/psp-printer-deployment-guide,gau,discovery,"{""history_url"":""https://hudu.example.com/kb/articles/psp-printer-deployment-guide""}"
2026-05-13T09:40:52.153628798Z,gau,https://hudu.example.com/kb/articles/psp-printing-troubleshooting-common-issues,gau,discovery,"{""history_url"":""https://hudu.example.com/kb/articles/psp-printing-troubleshooting-common-issues""}"
2026-05-13T09:40:52.153628798Z,gau,http://example.com/foo'onmouseover='alert,gau,discovery,"{""history_url"":""http://example.com/foo'onmouseover='alert""}"
2026-05-13T09:40:52.153628798Z,gau,https://provisioning.example.com/keys,gau,discovery,"{""history_url"":""https://provisioning.example.com/keys""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-67890.app.example.com/saml-metadata.xml,gau,discovery,"{""history_url"":""https://tenant-67890.app.example.com/saml-metadata.xml""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-67890.app.example.com/oauth,gau,discovery,"{""history_url"":""https://tenant-67890.app.example.com/oauth""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-12345.idp.example.com/,gau,discovery,"{""history_url"":""https://tenant-12345.idp.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-67890.app.example.com/,gau,discovery,"{""history_url"":""https://tenant-67890.app.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-67890.app.example.com/scim,gau,discovery,"{""history_url"":""https://tenant-67890.app.example.com/scim""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-67890.app.example.com/fastfed/finalize,gau,discovery,"{""history_url"":""https://tenant-67890.app.example.com/fastfed/finalize""}"
2026-05-13T09:40:52.153628798Z,gau,https://tenant-12345.idp.example.com/saml-metadata.xml,gau,discovery,"{""history_url"":""https://tenant-12345.idp.example.com/saml-metadata.xml""}"
2026-05-13T09:40:52.153628798Z,gau,https://olivahub.example.com/b2b,gau,discovery,"{""history_url"":""https://olivahub.example.com/b2b""}"
2026-05-13T09:40:52.153628798Z,gau,https://olivahub.example.com/shop,gau,discovery,"{""history_url"":""https://olivahub.example.com/shop""}"
2026-05-13T09:40:52.153628798Z,gau,https://olivahub.example.com/register,gau,discovery,"{""history_url"":""https://olivahub.example.com/register""}"
2026-05-13T09:40:52.153628798Z,gau,https://my.registry.example.com/,gau,discovery,"{""history_url"":""https://my.registry.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://npm.pkg.github.example.com/,gau,discovery,"{""history_url"":""https://npm.pkg.github.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://npm.work.example.com/,gau,discovery,"{""history_url"":""https://npm.work.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/tailieu,gau,discovery,"{""history_url"":""https://example.com/tailieu""}"
2026-05-13T09:40:52.153628798Z,gau,https://hooks.example.com/a2a,gau,discovery,"{""history_url"":""https://hooks.example.com/a2a""}"
2026-05-13T09:40:52.153628798Z,gau,https://metrics.example.com/api/v1,gau,discovery,"{""history_url"":""https://metrics.example.com/api/v1""}"
2026-05-13T09:40:52.153628798Z,gau,http://example.com/wiki/File,gau,discovery,"{""history_url"":""http://example.com/wiki/File""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/panel,gau,discovery,"{""history_url"":""https://example.com/panel""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/api/files/b435y3453h354,gau,discovery,"{""history_url"":""https://example.com/api/files/b435y3453h354""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/docs/1,gau,discovery,"{""history_url"":""https://example.com/docs/1""}"
